자료생성년월,사업장명,업종,시도,사업장형태,가입자수,당월고지금액,신규취득자수,상실가입자수
2026-07,대신정보통신(주),응용 소프트웨어 개발 및 공급업,서울특별시,법인,637,251664940,19,7
2026-07,서울명지초등학교,BIZ_NO미존재사업장,서울특별시,법인,33,8138460,0,1
2026-07,(주)경농,화학 살균ㆍ살충제 및 농업용 약제 제조업,서울특별시,법인,377,168704560,4,5
2026-07,(주)니프코코리아,포장용 플라스틱 성형용기 제조업,충청남도,법인,609,371839120,1,4
2026-07,(주)태영건설,아파트 건설업,경기도,법인,1065,596921900,28,22
2026-07,대성출판(주),일반 교과학원,서울특별시,법인,43,12057940,4,3
2026-07,한국아이비엠(주),컴퓨터 및 주변장치  소프트웨어 도매업,서울특별시,법인,707,382664720,7,7
2026-07,한국후지쯔(주),응용 소프트웨어 개발 및 공급업,서울특별시,법인,136,80534140,0,1
2026-07,코리아나호텔(주),해당없음,서울특별시,법인,88,30657900,4,2
2026-07,백남관광(주),호텔업,서울특별시,법인,68,28831040,0,1
2026-07,서한사(주),호텔업,서울특별시,법인,266,86129560,28,7
2026-07,한국수출입은행,그 외 기타 금융 지원 서비스업,서울특별시,법인,1471,742172280,50,30
2026-07,(주)SBI 저축은행,신용조합,서울특별시,법인,610,321068840,4,8
2026-07,KB증권(주),증권 중개업,서울특별시,법인,2910,1694223940,64,40
2026-07,유니온(주),시멘트 제조업,서울특별시,법인,54,26282180,0,0
2026-07,아이에스동서(주),콘크리트 타일  기와  벽돌 및 블록 제조업,경기도,법인,39,22150220,0,2
2026-07,보광교통(주),시내버스 운송업,서울특별시,법인,121,57448740,2,0
2026-07,중소기업중앙회,신용조합,서울특별시,법인,414,226640040,2,5
2026-07,한국대학생선교회(재),BIZ_NO미존재사업장,서울특별시,법인,827,135586120,0,6
2026-07,산림조합중앙회,임업용 종묘 생산업,서울특별시,법인,109,65455500,0,0
2026-07,동승(주),비주거용 건물 임대업(점포  자기땅),서울특별시,법인,62,26896480,1,0
2026-07,한국방송광고진흥공사,광고 대행업,서울특별시,법인,259,147919700,1,3
2026-07,국민의힘,BIZ_NO미존재사업장,서울특별시,법인,151,76693440,1,6
2026-07,(주)샤프에비에이션케이,그 외 기타 분류 안된 운송관련 서비스업,서울특별시,법인,1213,415683340,45,32
2026-07,이수건설 주식회사,기타 토목 시설물 건설업,서울특별시,법인,265,137338720,5,6
2026-07,에스지생활안전 주식회사,산업용 그 외 비경화 고무제품 제조업,경기도,법인,215,79958460,6,2
2026-07,알보젠코리아(주),완제 의약품 제조업,서울특별시,법인,442,254853060,4,8
2026-07,해성운수(주),택시 운송업,서울특별시,법인,31,6178540,3,1
2026-07,이화전기공업(주),전동기 및 발전기 제조업,서울특별시,법인,157,59588240,1,1
2026-07,(주)대원여객,시내버스 운송업,서울특별시,법인,442,205357380,4,8
2026-07,동일석유(주),액체 연료 및 관련제품 도매업,서울특별시,법인,150,50018340,5,8
2026-07,(주)연합유리,해당없음,경기도,법인,102,36189900,0,4
2026-07,대건운수(주）,택시 운송업,서울특별시,법인,43,8264560,1,3
2026-07,SDA삼육외국어학원,일반 교과학원,서울특별시,법인,106,25932420,4,2
2026-07,(주)신안,아파트 건설업,서울특별시,법인,73,30119800,0,2
2026-07,대경티엘에스(주),일반 화물 자동차 운송업,경기도,법인,94,30249400,0,0
2026-07,용성전기(주),기타 반도체 소자 제조업,경기도,법인,99,34125280,0,1
2026-07,(주)서양네트웍스,가죽의복 제조업,서울특별시,법인,182,69828540,3,6
2026-07,서한기업(주),그 외 기타 분류 안된 사업 지원 서비스업,서울특별시,법인,79,18205580,9,6
2026-07,(주)고려플랜트,산업 생산시설 종합 건설업,경기도,법인,31,11222040,0,0
2026-07,의료법인 삼광의료재단,그 외 기타 보건업,서울특별시,법인,448,144585320,13,17
2026-07,희성전자(주),비주거용 건물 임대업(점포  자기땅),서울특별시,법인,294,177621600,1,3
2026-07,(주)헤럴드,잡지 및 정기 간행물 발행업,서울특별시,법인,334,157959920,2,6
2026-07,우지기업(주),건축물 일반 청소업,서울특별시,법인,233,52148700,6,18
2026-07,디아이주식회사,기타 반도체 소자 제조업,서울특별시,법인,60,28128000,1,1
2026-07,한국관광공사,비주거용 건물 임대업(점포  자기땅),강원특별자치도,법인,772,376391660,73,21
2026-07,한국투자증권(주),그 외 기타 금융 지원 서비스업,서울특별시,법인,2823,1665117760,50,55
2026-07,유성물산교역(주),수산동물 건조 및 염장품 제조업,서울특별시,법인,47,18504340,1,0
2026-07,(주)동방아그로,화학 살균ㆍ살충제 및 농업용 약제 제조업,서울특별시,법인,150,71991020,1,0
2026-07,서울상공회의소,비주거용 건물 임대업(점포  자기땅),서울특별시,법인,262,146469420,4,7
2026-07,한국해운조합,,서울특별시,법인,261,119513340,8,1
2026-07,새마을금고중앙회,해당없음,서울특별시,법인,1180,713271160,61,10
2026-07,동국제약(주),완제 의약품 제조업,서울특별시,법인,1325,607470680,49,30
2026-07,(주)일본항공한국지점,항공 여객 운송업,서울특별시,법인,74,38681940,0,0
2026-07,흥성사료주식회사,배합 사료 제조업,경기도,법인,61,31164240,2,0
2026-07,태진운수(주),시내버스 운송업,서울특별시,법인,76,36930540,0,1
2026-07,(주)메디카코리아,완제 의약품 제조업,서울특별시,법인,164,65510880,6,7
2026-07,(주)번영교통,택시 운송업,서울특별시,법인,46,9733480,1,3
2026-07,정안운수(주),시내버스 운송업 / 시외버스 운송업,서울특별시,법인,44,6140720,2,3
2026-07,동방노보펌(주),금속 문  창  셔터 및 관련제품 제조업,서울특별시,법인,72,24575840,6,1
2026-07,(주)우진,경영 컨설팅업(경영지도사),충청북도,법인,48,22507960,0,1
2026-07,한국코소(주),금속 문  창  셔터 및 관련제품 제조업,서울특별시,법인,64,29394840,1,0
2026-07,(주)통광,배관 및 냉ㆍ난방 공사업,서울특별시,법인,48,20519500,8,4
2026-07,동중한합회,BIZ_NO미존재사업장,경기도,법인,186,58913700,0,1
2026-07,(주)부래당,가죽의복 제조업,서울특별시,법인,75,26416060,1,3
2026-07,서울개인택시조합,택시 운송업,서울특별시,법인,137,68600300,0,0
2026-07,(주)백조씽크,금속 캔 및 기타 포장용기 제조업,서울특별시,법인,38,16130400,0,1
2026-07,(주)팬코,가죽의복 제조업,서울특별시,법인,105,42225020,4,9
2026-07,신성약품(주),의약품 도매업,경기도,법인,65,18522040,2,0
2026-07,진아교통(주),시내버스 운송업,서울특별시,법인,122,56754560,1,1
2026-07,삼양교통(주),시내버스 운송업,서울특별시,법인,116,55302700,3,2
2026-07,창일택시 주식회사,택시 운송업,서울특별시,법인,35,7160000,2,1
2026-07,신광상운(주),택시 운송업,서울특별시,법인,60,8478280,2,3
2026-07,진양오토모티브(주),카펫  마루덮개 및 유사 제품 제조업,인천광역시,법인,66,25092980,0,0
2026-07,신원종합개발(주),기타 토목 시설물 건설업,경기도,법인,181,94134920,8,9
2026-07,(주)한국경제신문,잡지 및 정기 간행물 발행업,서울특별시,법인,466,254121040,0,6
2026-07,협성해운(주),내륙 수상 여객 및 화물 운송업,서울특별시,법인,35,15848840,1,0
2026-07,(주)비와이씨,가죽의복 제조업,서울특별시,법인,452,137284400,5,5
2026-07,신라교역(주),어업 / 트롤,서울특별시,법인,78,38574720,1,1
2026-07,(재)CBS,라디오 방송업,서울특별시,법인,318,160560240,9,5
2026-07,(주)보령,완제 의약품 제조업,서울특별시,법인,1636,837233640,34,22
2026-07,대한지방행정공제회,비주거용 건물 임대업(점포  자기땅),서울특별시,법인,175,104662640,0,1
2026-07,(주)삼영익스프레스,택배업,서울특별시,법인,33,14458020,0,1
2026-07,삼육서울병원,요양병원,서울특별시,법인,1060,397239400,16,16
2026-07,존슨콘트롤즈인터내셔널코리아 주식회사,산업용 냉장 및 냉동장비 제조업,서울특별시,법인,253,114426840,3,1
2026-07,한양산업개발(주),아파트 건설업,서울특별시,법인,63,35299500,1,4
2026-07,가평교통 주식회사,시외버스 운송업,경기도,법인,82,37067120,3,1
2026-07,한미사이언스 주식회사,완제 의약품 제조업,경기도,법인,498,242199640,1,3
2026-07,(재)KATRI시험연구원,기타 기술 시험  검사 및 분석업(기술지도사),서울특별시,법인,539,227548360,40,17
2026-07,마마택시주식회사,택시 운송업,서울특별시,법인,30,5782140,3,0
2026-07,통운산업(주),택시 운송업,서울특별시,법인,36,6874340,3,2
2026-07,동도자동차(주),시내버스 운송업 / 시외버스 운송업,서울특별시,법인,35,10038100,3,2
2026-07,북부운수(주),시내버스 운송업,서울특별시,법인,371,178532620,10,3
2026-07,부광통상(주),택시 운송업,서울특별시,법인,43,8226820,1,5
2026-07,우일정보기술(주),미장  타일 및 방수 공사업,서울특별시,법인,161,43571180,8,6
2026-07,(주)태화이엔지,금속 문  창  셔터 및 관련제품 제조업,경기도,법인,74,27860080,2,0
2026-07,주식회사 우인웨이브,연사 및 가공사 제조업 / 특수직물 및 기타 직물 직조,서울특별시,법인,38,13852240,0,13
2026-07,강동통상(주),택시 운송업,서울특별시,법인,37,6941660,4,2
2026-07,KH필룩스(주),기타 반도체 소자 제조업,경기도,법인,110,43644380,4,2
2026-07,(주)동광지엔티,기타 인쇄물 출판업,충청남도,법인,54,16911200,1,1
2026-07,동부제일병원,요양병원,서울특별시,법인,234,76866140,8,1
2026-07,(주)비트컴퓨터,응용 소프트웨어 개발 및 공급업,서울특별시,법인,136,52955880,3,2
2026-07,(주)대성유통,음ㆍ식료품 및 담배 중개업,경기도,법인,31,10293400,0,0
2026-07,상진전선(주),기타 절연선 및 케이블 제조업,충청북도,법인,46,18947980,2,1
2026-07,한성운수(주),시내버스 운송업,서울특별시,법인,380,186560360,12,4
2026-07,상진운수(주),시내버스 운송업 / 시외버스 운송업,서울특별시,법인,173,83926660,4,0
2026-07,삼화상운(주),시내버스 운송업,서울특별시,법인,192,91943520,3,4
2026-07,대진여객(주),시내버스 운송업,서울특별시,법인,348,163531220,3,4
2026-07,교보디티에스(주),컴퓨터 및 주변장치  소프트웨어 도매업,서울특별시,법인,419,203837400,2,4
2026-07,도선여객(주),시내버스 운송업 / 시외버스 운송업,서울특별시,법인,223,110582440,2,2
2026-07,흥안운수(주),시내버스 운송업,서울특별시,법인,262,123615120,5,3
2026-07,(유)삼송,해당없음,서울특별시,법인,217,86562560,2,4
2026-07,에이제이주식회사,신문용지 제조업,충청남도,법인,89,37501580,1,0
2026-07,에스케이에코플랜트(주),기타 토목 시설물 건설업,서울특별시,법인,3842,2160729120,122,42
2026-07,(주) 매일경제신문사,스크린 인쇄업,서울특별시,법인,683,287809160,4,5
2026-07,연합뉴스(주),잡지 및 정기 간행물 발행업,서울특별시,법인,753,446301800,13,2
2026-07,5.1관광(주),호텔업,서울특별시,법인,63,21411080,3,2
2026-07,한양증권(주),증권 중개업,서울특별시,법인,454,243892540,15,10
2026-07,(주)상상인증권,증권 중개업,서울특별시,법인,233,121120960,3,6
2026-07,(주)신흥,전기식 진단 및 요법 기기 제조업,서울특별시,법인,130,56513700,0,2
2026-07,(재)서울기독교청년회유지재단,비주거용 건물 임대업(점포  자기땅),서울특별시,법인,151,48196460,7,2
2026-07,(사)대한출판문화협회,해당없음,서울특별시,법인,34,8375320,0,0
2026-07,삼덕회계법인,공인회계사업,서울특별시,법인,901,453558120,19,9
2026-07,서울항공화물(주),상품 종합 도매업,서울특별시,법인,34,14843460,0,2
2026-07,한국마사회,실내 경기장 운영업,경기도,법인,4101,999188220,54,59
2026-07,(재)FITI시험연구원,기타 기술 시험  검사 및 분석업,서울특별시,법인,652,303880440,9,9
2026-07,(주)한국협화,복합비료 및 기타 화학비료 제조업,서울특별시,법인,38,16061140,1,0
2026-07,재단법인 한국농촌경제연구원,기타 인문 및 사회과학 연구개발업,전남광주통합특별시,법인,284,127300280,5,13
2026-07,동신운수(주),택시 운송업,서울특별시,법인,40,7822380,4,1
2026-07,주식회사 에이프로젠바이오로직스,완제 의약품 제조업,서울특별시,법인,145,54547820,4,7
2026-07,(주)한국교통,시내버스 운송업 / 시외버스 운송업,서울특별시,법인,36,5154740,0,2
2026-07,승진교통(주),시내버스 운송업 / 시외버스 운송업,서울특별시,법인,40,5769400,1,4
2026-07,(주)대원교통,시내버스 운송업,서울특별시,법인,272,127363680,12,4
2026-07,금풍운수(주),택시 운송업,서울특별시,법인,40,7455000,1,1
2026-07,(주)신도리코,사무용 기계 및 장비 제조업,서울특별시,법인,289,152272620,3,1
2026-07,삼원정공(주),금속선 가공제품 제조업,경기도,법인,61,19684220,0,1
2026-07,(주)이글벳,일반용 도료 및 관련제품 제조업,충청남도,법인,95,33895660,4,1
2026-07,(주)카스,일반 저울 제조업,경기도,법인,314,113227160,0,13
2026-07,유나이티드인터팜(주),기타 가공식품 도매업,서울특별시,법인,46,17184160,0,0
2026-07,서울시립대학교(총무과),비주거용 건물 임대업(점포  자기땅),서울특별시,법인,274,77793620,7,4
2026-07,KB오토시스(주),그 외 자동차용 신품 부품 제조업,충청남도,법인,190,89836380,2,3
2026-07,서울송도병원,요양병원,서울특별시,개인,324,115180000,9,12
2026-07,아진교통(주),시내버스 운송업,서울특별시,법인,119,60221980,0,0
2026-07,동성제약(주),완제 의약품 제조업,서울특별시,법인,130,50780940,3,1
2026-07,대왕기업(주),시내버스 운송업 / 시외버스 운송업,서울특별시,법인,61,11096080,8,4
2026-07,(주)아이보리,가죽의복 제조업,서울특별시,법인,53,22520940,1,3
2026-07,동아운수(주),시내버스 운송업 / 시외버스 운송업,서울특별시,법인,429,210089460,0,1
2026-07,영신여객자동차(주),시내버스 운송업,서울특별시,법인,99,45109600,2,0
2026-07,에스피삼화 주식회사,일반용 도료 및 관련제품 제조업,경기도,법인,851,441565000,5,7
2026-07,진화운수(주),시내버스 운송업,서울특별시,법인,253,129851620,3,2
2026-07,선일교통(주),시내버스 운송업 / 시외버스 운송업,서울특별시,법인,114,53872140,2,0
2026-07,유창상운(주),택시 운송업,서울특별시,법인,31,5274580,8,4
2026-07,상록운수(주),택시 운송업,서울특별시,법인,34,6425020,1,1
2026-07,(주)세지솔로텍,동력식 수지 공구 제조업,부산광역시,법인,95,33817500,1,2
2026-07,삼양식품(주)익산공장,면류  마카로니 및 유사 식품 제조업,전북특별자치도,법인,286,142597800,4,5
2026-07,대양운수(주),시내버스 운송업 / 시외버스 운송업,경기도,법인,85,33179640,6,2
2026-07,신일병원,요양병원,서울특별시,개인,43,12244600,1,2
2026-07,서울성심병원,요양병원,서울특별시,개인,302,99588340,3,6
2026-07,(주)창동자동차학원,운전학원,서울특별시,법인,36,14651300,0,0
2026-07,재단법인한국예수회,BIZ_NO미존재사업장,서울특별시,법인,31,7619580,0,0
2026-07,세명실업(주),산업설비  운송장비 및 공공장소 청소업,서울특별시,법인,33,15741640,0,1
2026-07,(주)선진운수,시내버스 운송업,서울특별시,법인,495,232032980,3,9
2026-07,에이치디현대오일뱅크(주)서울지점,원유 정제처리업,경기도,법인,821,496328360,64,8
2026-07,한국쉘석유(주),액체 연료 및 관련제품 도매업,서울특별시,법인,34,21129460,0,0
2026-07,남창흥업(주),택시 운송업,서울특별시,법인,38,6356040,1,1
2026-07,동화통운(주),택시 운송업,서울특별시,법인,39,8401940,0,3
2026-07,진양제약(주),완제 의약품 제조업,서울특별시,법인,206,81977820,2,2
2026-07,청구성심병원,요양병원,서울특별시,법인,300,107641800,3,11
2026-07,(재)한국기계전기전자시험연구원,해당없음,경기도,법인,718,352094060,14,9
2026-07,사회복지법인홀트아동복지회,일반의원,서울특별시,법인,67,22793340,1,2
2026-07,한국세무사회,일반 서적 출판업,서울특별시,법인,72,31040900,2,1
2026-07,한솔PNS(주) ITS부문,운송장비용 조명장치 제조업,서울특별시,법인,208,109211260,1,6
2026-07,공항버스(주),시내버스 운송업,서울특별시,법인,179,84564620,6,1
2026-07,(주)진영정기,산업용 로봇 제조업,경기도,법인,72,29585260,1,1
2026-07,광일(주),기타 식품 첨가물 제조업,서울특별시,법인,74,34076660,2,1
2026-07,대한약품공업(주),완제 의약품 제조업,서울특별시,법인,698,332390240,7,7
2026-07,(주)모나리자,위생용 종이제품 제조업,서울특별시,법인,95,40512360,0,1
2026-07,(주)다림양행,의약품 도매업,서울특별시,법인,36,13942580,2,1
2026-07,(주)북창기업,주류 도매업,서울특별시,법인,37,11973360,0,3
2026-07,(주)글락소스미스클라인,완제 의약품 제조업,서울특별시,법인,450,274896960,4,2
2026-07,범일운수(주),시내버스 운송업,서울특별시,법인,398,183492340,9,6
2026-07,한국예탁결제원,그 외 기타 금융 지원 서비스업,부산광역시,법인,691,412036900,6,8
2026-07,한영택시(주),시내버스 운송업 / 시외버스 운송업,서울특별시,법인,40,7583960,4,1
2026-07,삼양식품(주),면류  마카로니 및 유사 식품 제조업,서울특별시,법인,821,435016560,14,14
2026-07,(주)삼구아이앤씨,건축물 일반 청소업,서울특별시,법인,12968,3880345380,527,861
2026-07,성모자애복지관,BIZ_NO미존재사업장,서울특별시,법인,44,13906420,3,0
2026-07,현대교통(주),시내버스 운송업 / 시외버스 운송업,서울특별시,법인,121,55754400,1,2
2026-07,대성교통(주),택시 운송업,서울특별시,법인,43,8567720,2,2
2026-07,주식회사 인베니,연료용 가스 제조 및 배관공급업,서울특별시,법인,32,18542580,2,0
2026-07,(주)삼양애니팜,접착제 및 젤라틴 제조업,서울특별시,법인,60,22663300,2,0
2026-07,정보통신정책연구원,기타 엔지니어링 서비스업,충청북도,법인,194,95696440,3,2
2026-07,(주)다산주류,주류 도매업,서울특별시,법인,51,21903400,0,0
2026-07,(재단법인)극동방송,라디오 방송업,서울특별시,법인,79,43640480,7,1
2026-07,(주)풍농,복합비료 및 기타 화학비료 제조업,서울특별시,법인,192,103028900,0,0
2026-07,원신교통(주),택시 운송업,서울특별시,법인,39,7929340,0,1
2026-07,양화운수(주),택시 운송업,서울특별시,법인,48,6296860,7,2
2026-07,(주)금성출판사,서적외판원 학습지방문판매원 화장품외판원 정수기 자,서울특별시,법인,297,89831800,5,2
2026-07,동아에코팩(주),금속선 가공제품 제조업,충청남도,법인,366,157209180,13,10
2026-07,만두유통(유),주류 도매업,서울특별시,법인,50,16745800,2,0
2026-07,(주)아이티센씨티에스,유선 통신장비 제조업,경기도,법인,540,254528840,4,4
2026-07,구세군서울후생원,BIZ_NO미존재사업장,서울특별시,법인,35,13615760,0,1
2026-07,태정기업(주),산업설비  운송장비 및 공공장소 청소업,서울특별시,법인,31,13567500,1,2
2026-07,대웅(주),완제 의약품 제조업,경기도,법인,395,191571320,6,30
2026-07,세풍운수(주),시내버스 운송업,서울특별시,법인,249,117909960,8,2
2026-07,한국노동조합총연맹,비주거용 건물 임대업(점포  자기땅),서울특별시,법인,84,37427360,4,2
2026-07,(주)청우하이드로,유압 기기 제조업,인천광역시,법인,112,44494100,3,4
2026-07,(주)중앙에너비스,액체 연료 및 관련제품 도매업,서울특별시,법인,58,20888480,0,0
2026-07,동진콜택시(주),택시 운송업,서울특별시,법인,88,22171400,13,12
2026-07,여의도순복음교회,해당없음,서울특별시,법인,408,149462320,1,12
2026-07,(주)고려차량,철도 차량 부품 및 관련 장치물 제조업,부산광역시,법인,35,11800500,0,0
2026-07,진양상운(주),시내버스 운송업 / 시외버스 운송업,서울특별시,법인,70,13230000,1,6
2026-07,도원교통(주),시내버스 운송업,서울특별시,법인,302,143725520,3,1
2026-07,한양상운(주),시내버스 운송업 / 시외버스 운송업,서울특별시,법인,45,8056280,11,10
2026-07,화인택시(주),시내버스 운송업 / 시외버스 운송업,서울특별시,법인,37,5206820,1,1
2026-07,용진유리판매(주),골재  벽돌 및 시멘트 도매업,경기도,법인,30,8835160,3,3
2026-07,진영상운(주),시내버스 운송업 / 시외버스 운송업,서울특별시,법인,33,5052640,1,1
2026-07,대림택시(주),택시 운송업,서울특별시,법인,58,9552560,3,7
2026-07,한빛맹아원,해당없음,서울특별시,법인,43,17635340,0,0
2026-07,신촌교통(주),시내버스 운송업,서울특별시,법인,175,80590320,2,3
2026-07,서부운수(주),시내버스 운송업,서울특별시,법인,113,52585220,0,2
2026-07,(주)한국로슈,완제 의약품 제조업,서울특별시,법인,255,150289180,1,5
2026-07,(주)푸른저축은행,신용조합,서울특별시,법인,105,52255220,1,1
2026-07,재단법인한국에스지아이,해당없음,서울특별시,법인,174,61061060,2,1
2026-07,경성여객(주),시내버스 운송업 / 시외버스 운송업,서울특별시,법인,164,77664120,0,0
2026-07,대신염직공업(주),직물  편조 원단 및 의복류 염색 가공업,경기도,법인,62,20652520,0,0
2026-07,두원이에프씨(주),배관 및 냉ㆍ난방 공사업,서울특별시,법인,46,19567160,1,3
2026-07,김포교통(주),시내버스 운송업,서울특별시,법인,238,112723880,5,1
2026-07,영인운수(주),시내버스 운송업 / 시외버스 운송업,서울특별시,법인,159,74693980,4,1
2026-07,KH에너지 주식회사,액체 연료 및 관련제품 도매업,서울특별시,법인,103,34935620,4,5
2026-07,서울축산업협동조합,배합 사료 제조업,서울특별시,법인,374,210908700,0,5
2026-07,국제산공(주),미장  타일 및 방수 공사업,서울특별시,법인,59,26539620,1,1
2026-07,서울약사신용협동조합,신용조합,서울특별시,법인,47,22334940,0,0
2026-07,유한회사동원아이엔씨,호텔업,서울특별시,법인,105,35000800,0,1
2026-07,호텔캐피탈(주),일식 음식점업,서울특별시,법인,124,36834940,5,10
2026-07,주식회사 조흥,상품 종합 도매업,경기도,법인,538,227017740,12,10
2026-07,삼성여객자동차(주),시내버스 운송업,서울특별시,법인,170,81263080,0,2
2026-07,풍림산업(주),아파트 건설업,서울특별시,법인,105,55050700,5,14
2026-07,(주)맥서브,비주거용 부동산 관리업,서울특별시,법인,6471,1683637560,240,224
2026-07,(주)코스콤,자료 처리업,서울특별시,법인,882,527537920,50,5
2026-07,유진투자증권(주),증권 중개업,서울특별시,법인,748,417231920,25,9
2026-07,(재)한국천주교살레시오회,BIZ_NO미존재사업장,서울특별시,법인,33,7270560,2,0
2026-07,(주)유풍,모자 제조업,서울특별시,법인,276,146376460,2,1
2026-07,제니코식품(주),천연 및 혼합 조제 조미료 제조업,서울특별시,법인,35,13789220,2,0
2026-07,대선제분(주),곡물 제분업,서울특별시,법인,58,26249320,0,2
2026-07,삼일제약(주),완제 의약품 제조업,서울특별시,법인,577,285397020,3,4
2026-07,한국베링거인겔하임(주),완제 의약품 제조업,서울특별시,법인,165,96248300,6,4
2026-07,삼익택시(주),시내버스 운송업 / 시외버스 운송업,서울특별시,법인,111,18018520,11,8
2026-07,유화증권(주),증권 중개업,서울특별시,법인,81,31269120,5,3
2026-07,한미산업운수(주),시내버스 운송업 / 시외버스 운송업,서울특별시,법인,33,8287540,2,3
2026-07,(주)아이비에스인더스트리,건축물 일반 청소업,서울특별시,법인,4041,1074485320,168,182
2026-07,우신운수(주),시내버스 운송업,서울특별시,법인,179,85263920,2,2
2026-07,삼일운수(주),시내버스 운송업 / 시외버스 운송업,서울특별시,법인,32,9061420,5,0
2026-07,(주)한일택시,시내버스 운송업 / 시외버스 운송업,서울특별시,법인,34,6267060,5,1
2026-07,경동운수(주),시내버스 운송업 / 시외버스 운송업,서울특별시,법인,57,11706860,11,10
2026-07,무한기업(주),지정 외 폐기물 수집  운반업,서울특별시,법인,30,15369140,1,1
2026-07,태릉교통(주),시내버스 운송업,서울특별시,법인,99,48236500,0,2
2026-07,진흥전기(주),배전반 및 전기 자동제어반 제조업,서울특별시,법인,51,13884620,1,2
2026-07,환인제약(주),완제 의약품 제조업,서울특별시,법인,640,312521420,16,15
2026-07,서울탁주도봉연합제조장,탁주 및 약주 제조업,서울특별시,개인,42,19540640,0,0
2026-07,강북운수(주),시내버스 운송업 / 시외버스 운송업,서울특별시,법인,46,9085040,3,2
2026-07,성모자애드림힐,BIZ_NO미존재사업장,서울특별시,법인,46,16928940,0,0
2026-07,우진산업(주),합성수지 및 기타 플라스틱 물질 제조업,전북특별자치도,법인,42,17578220,0,2
2026-07,신인운수(주),시내버스 운송업,서울특별시,법인,147,70997380,1,1
2026-07,삼환운수(주),시내버스 운송업 / 시외버스 운송업,서울특별시,법인,31,5599580,0,1
2026-07,한국소방산업기술원,기타 기술 시험  검사 및 분석업,경기도,법인,328,148052900,0,8
2026-07,(주)코스탯아이앤씨,기타 반도체 소자 제조업,경기도,법인,107,57086700,0,0
2026-07,사회복지법인 엔젤스헤이븐,기타 직물제품 제조업,서울특별시,법인,34,10509580,1,1
2026-07,e-푸른새마을금고,신용조합,서울특별시,법인,32,19500240,1,0
2026-07,삼진제약(주),완제 의약품 제조업,서울특별시,법인,786,421741580,10,7
2026-07,을지운수(주),시내버스 운송업 / 시외버스 운송업,서울특별시,법인,34,6619520,1,2
2026-07,민경운수(주),시내버스 운송업 / 시외버스 운송업,서울특별시,법인,36,5527840,4,2
2026-07,중부운수(주),시내버스 운송업 / 시외버스 운송업,서울특별시,법인,248,115945460,1,3
2026-07,일신하이폴리(주）,플라스틱 필름 제조업,경기도,법인,192,105825200,1,1
2026-07,상록교통(주),시내버스 운송업 / 시외버스 운송업,서울특별시,법인,45,8925620,5,3
2026-07,주식회사 삼우메디안,의료용품 및 기타 의약 관련제품 제조업,충청남도,법인,51,16791580,2,0
2026-07,(재)한국지방행정연구원,기타 인문 및 사회과학 연구개발업,강원특별자치도,법인,103,52928780,0,2
2026-07,성호산업(주),그 외 기타 상품 전문 도매업,경기도,법인,40,8689980,1,1
2026-07,서울외국인학교,BIZ_NO미존재사업장,서울특별시,법인,366,190090620,10,22
2026-07,서부환경(주),지정 외 폐기물 수집  운반업,서울특별시,법인,49,22166400,3,0
2026-07,삼원인쇄(주),스크린 인쇄업,경기도,법인,81,28594060,2,3
2026-07,코스맥스바이오(주),기타 식품 첨가물 제조업,충청북도,법인,410,173545320,8,10
2026-07,천일테크윈(주),트레일러 및 세미 트레일러 제조업,인천광역시,법인,63,20032700,1,1
2026-07,(주)한국종합기술,기타 엔지니어링 서비스업,경기도,법인,1567,814859980,13,16
2026-07,한국교직원공제회,보험 대리 및 중개업,서울특별시,법인,537,314726260,5,5
2026-07,일성아이에스(주),완제 의약품 제조업,경기도,법인,191,73388320,2,3
2026-07,보영운수(주),시내버스 운송업,서울특별시,법인,133,63323780,3,0
2026-07,아주홀딩스 주식회사,경영 컨설팅업,서울특별시,법인,43,21519000,0,3
2026-07,정도이앤피(주),합성수지 및 기타 플라스틱 물질 제조업,경기도,법인,42,18841240,0,1
2026-07,(주)풍산에프앤에스,무기 및 총포탄 제조업,충청남도,법인,152,86004700,0,2
2026-07,신신제약(주),완제 의약품 제조업,세종특별자치시,법인,371,164733580,15,3
2026-07,케이씨씨정보통신주식회사,컴퓨터 시스템 통합 자문 및 구축 서비스업,서울특별시,법인,455,164841060,5,6
2026-07,한국증권금융(주),그 외 기타 금융 지원 서비스업,서울특별시,법인,545,317763940,5,13
2026-07,해밀톤관광(주),호텔업,서울특별시,법인,52,16827000,1,3
2026-07,한국교통안전공단,기타 육상 운송지원 서비스업,경상북도,법인,2134,961083840,69,37
2026-07,(주)동구바이오제약,완제 의약품 제조업,서울특별시,법인,400,168768680,2,10
2026-07,한국검사정공사(주),기타 기술 시험  검사 및 분석업,전남광주통합특별시,법인,77,32468460,0,1
2026-07,사러가(주),슈퍼마켓,서울특별시,법인,37,12849300,2,2
2026-07,반도실업,기타 반도체 소자 제조업,인천광역시,개인,45,12683240,0,0
2026-07,(주) 에스와이에스리테일,가전제품 및 부품 도매업,서울특별시,법인,443,198504720,3,9
2026-07,오로라월드(주),문서 작성업,서울특별시,법인,184,58273240,9,6
2026-07,강성교통(주),시내버스 운송업 / 시외버스 운송업,서울특별시,법인,57,11235460,13,4
2026-07,수협노량진수산주식회사,음ㆍ식료품 및 담배 중개업,서울특별시,법인,97,47873960,0,0
2026-07,신한관세법인,해당없음,서울특별시,법인,80,26000800,3,5
